학년|교과목명|과목코드|학과코드|과목번호|학점|시간|담당교수|강좌번호|제한인원|요일|시작시간|종료시간|강의실|비고
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0074|20|월|09:00|09:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0074|20|수|09:00|09:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0075|20|월|10:00|10:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0075|20|수|10:00|10:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0076|20|월|13:00|13:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0076|20|수|13:00|13:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0077|21|월|14:00|14:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0077|21|수|14:00|14:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0078|20|화|09:00|09:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0078|20|목|09:00|09:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0079|20|화|10:00|10:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0079|20|목|10:00|10:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0080|20|화|13:00|13:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0080|20|목|13:00|13:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0081|20|화|14:00|14:50|Y9236|
전학년|영어회화1|교필108|교필|108|1|2|아벤샤인|0081|20|목|14:00|14:50|Y9236|
전학년|영어회화2|교필109|교필|109|1|2|데본|0082|20|월|10:00|10:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0082|20|수|10:00|10:50|Y9230|
