학년,교과목명,과목코드,학과코드,과목번호,학점,시간,담당교수,강좌번호,제한인원,요일,시작시간,종료시간,강의실,비고
전학년,영어회화1,교필108,교필,108,1,2,황혜리,0080,20,월,10:00,10:50,Y9201,
전학년,영어회화1,교필108,교필,108,1,2,황혜리,0081,22,월,11:00,11:50,Y9201,
전학년,영어회화1,교필108,교필,108,1,2,황혜리,0082,21,월,13:00,13:50,Y9201,
전학년,영어회화1,교필108,교필,108,1,2,황혜리,0083,20,월,14:00,14:50,Y9201,
전학년,영어회화1,교필108,교필,108,1,2,황혜리,0084,21,화,09:00,09:50,Y9201,
전학년,영어회화1,교필108,교필,108,1,2,황혜리,0085,21,화,10:00,10:50,Y9201,
전학년,영어회화1,교필108,교필,108,1,2,황혜리,0086,21,화,11:00,11:50,Y9201,
전학년,영어회화1,교필108,교필,108,1,2,에릭스톨즈,0089,20,월,10:00,10:50,Y9203,
전학년,영어회화1,교필108,교필,108,1,2,에릭스톨즈,0090,20,월,11:00,11:50,Y9203,
전학년,영어회화1,교필108,교필,108,1,2,에릭스톨즈,0091,21,월,12:00,12:50,Y9203,
전학년,영어회화1,교필108,교필,108,1,2,에릭스톨즈,0092,20,월,13:00,13:50,Y9203,
전학년,영어회화2,교필109,교필,109,1,2,아빈샤인,0101,20,월,09:00,09:50,Y9236,
전학년,영어회화2,교필109,교필,109,1,2,아빈샤인,0102,21,월,10:00,10:50,Y9236,
전학년,영어회화2,교필109,교필,109,1,2,아빈샤인,0103,20,월,11:00,11:50,Y9236,
전학년,영어회화2,교필109,교필,109,1,2,아빈샤인,0104,22,월,12:00,12:50,Y9236,
전학년,영어회화2,교필109,교필,109,1,2,아빈샤인,0105,20,화,09:00,09:50,Y9236,
전학년,영어회화2,교필109,교필,109,1,2,아빈샤인,0106,20,화,10:00,10:50,Y9236,
전학년,영어회화2,교필109,교필,109,1,2,아빈샤인,0107,20,화,11:00,11:50,Y9236,
전학년,철학과인간,교선110,교선,110,3,3,손석우,0108,58,월,09:00,10:50,Y2535,
전학년,철학과인간,교선110,교선,110,3,3,손석우,0109,61,화,11:00,11:50,Y2535,
전학년,철학과인간,교선110,교선,110,3,3,손석우,0109,61,목,10:00,11:50,Y2535,
전학년,철학과인간,교선110,교선,110,3,3,손석우,0110,65,화,14:00,14:50,Y2535,
전학년,철학과인간,교선110,교선,110,3,3,손석우,0110,65,목,13:00,14:50,Y2535,
전학년,철학과인간,교선110,교선,110,3,3,손석우,0111,65,화,15:00,16:50,Y2535,
전학년,철학과인간,교선110,교선,110,3,3,손석우,0111,65,목,15:00,15:50,Y2535,
전학년,한국근현대사의이해,교선111,교선,111,3,3,유정희,0112,55,월,11:00,11:50,Y2508,
전학년,한국근현대사의이해,교선111,교선,111,3,3,유정희,0112,55,수,10:00,11:50,Y2508,
전학년,한국근현대사의이해,교선111,교선,111,3,3,유정희,0113,55,월,13:00,13:50,Y2508,
전학년,한국근현대사의이해,교선111,교선,111,3,3,유정희,0113,55,수,13:00,14:50,Y2508,
전학년,영어3,교필123,교필,123,2,2,이보경,0132,32,월,11:00,11:50,Y9515,
전학년,영어3,교필123,교필,123,2,2,이보경,0132,32,수,11:00,11:50,Y9515,
전학년,영어3,교필123,교필,123,2,2,이보경,0133,32,월,12:00,12:50,Y9515,
전학년,영어3,교필123,교필,123,2,2,이보경,0133,32,수,12:00,12:50,Y9515,
전학년,영어3,교필123,교필,123,2,2,염동희,0135,32,화,10:00,10:50,Y9522,
전학년,영어3,교필123,교필,123,2,2,염동희,0135,32,목,10:00,10:50,Y9522,
전학년,영어3,교필123,교필,123,2,2,엄혜영,0139,32,화,11:00,11:50,Y9528,
전학년,영어3,교필123,교필,123,2,2,엄혜영,0139,32,목,11:00,11:50,Y9528,
전학년,영어회화3,교필125,교필,125,1,2,데론,0143,21,화,10:00,10:50,Y9230,
전학년,영어회화3,교필125,교필,125,1,2,데론,0143,21,목,10:00,10:50,Y9230,
전학년,영어회화3,교필125,교필,125,1,2,데론,0144,20,화,11:00,11:50,Y9230,
전학년,영어회화3,교필125,교필,125,1,2,데론,0144,20,목,11:00,11:50,Y9230,
전학년,영어회화3,교필125,교필,125,1,2,에릭스톨즈,0149,20,월,16:00,16:50,Y9203,
전학년,영어회화3,교필125,교필,125,1,2,에릭스톨즈,0149,20,수,16:00,16:50,Y9203,
전학년,영어회화3,교필125,교필,125,1,2,브랜트덕스,0151,20,월,11:00,11:50,Y9238,
전학년,영어회화3,교필125,교필,125,1,2,브랜트덕스,0151,20,수,11:00,11:50,Y9238,
전학년,글로벌문화,교선128,교선,128,3,3,조수미,0158,56,월,11:00,11:50,Y2511,
전학년,글로벌문화,교선128,교선,128,3,3,조수미,0158,56,수,10:00,11:50,Y2511,
전학년,글로벌문화,교선128,교선,128,3,3,조수미,0159,56,월,13:00,13:50,Y2511,
전학년,고전으로읽는인문학,교선130,교선,130,3,3,오은영,0161,55,월,13:00,14:50,Y2529,
전학년,고전으로읽는인문학,교선130,교선,130,3,3,오은영,0161,55,수,14:00,14:50,Y2529,
전학년,고전으로읽는인문학,교선130,교선,130,3,3,오은영,0162,55,월,15:00,16:50,Y2529,
전학년,고전으로읽는인문학,교선130,교선,130,3,3,오은영,0162,55,목,15:00,15:50,Y2529,
전학년,고전으로읽는인문학,교선130,교선,130,3,3,김인옥,0163,55,화,10:00,10:50,Y2532,
전학년,고전으로읽는인문학,교선130,교선,130,3,3,김인옥,0163,55,목,10:00,11:50,Y2532,
전학년,예술과창조성,교선132,교선,132,3,3,안정아,0164,56,월,12:00,13:50,Y9106,
전학년,예술과창조성,교선132,교선,132,3,3,안정아,0164,56,수,13:00,13:50,Y9106,
전학년,예술과창조성,교선132,교선,132,3,3,안정아,0165,55,월,14:00,15:50,Y9106,
전학년,예술과창조성,교선132,교선,132,3,3,안정아,0165,55,수,14:00,14:50,Y9106,
전학년,"우주,생명,예술",교선135,교선,135,3,3,김범용,0166,67,화,09:00,11:50,Y9029,
전학년,"우주,생명,예술",교선135,교선,135,3,3,김범용,0167,67,화,14:00,16:50,Y9029,
전학년,현대사회와심리학,교선142,교선,142,3,3,김희진,0178,55,금,09:00,11:50,Y2526,
전학년,현대사회와심리학,교선142,교선,142,3,3,김희진,0179,55,금,12:00,14:50,Y2526,
전학년,한국어연설1,교필142,교필,142,1,2,이유림,0180,40,금,13:00,14:50,Y8107,TOPIK 4급 미만 외국인학생 전용강좌
전학년,디지털문명의이해,교선159,교선,159,3,3,조수미,0192,59,화,13:00,14:50,Y2511,
전학년,디지털문명의이해,교선159,교선,159,3,3,조수미,0192,59,목,13:00,13:50,Y2511,
전학년,AI와예술의만남,교선164,교선,164,3,3,안정아,0196,56,화,12:00,13:50,Y9106,교과목명 변경강좌
전학년,AI와예술의만남,교선164,교선,164,3,3,안정아,0196,56,목,13:00,13:50,Y9106,교과목명 변경강좌
전학년,AI사회와인간,교선165,교선,165,3,3,조선경,0197,60,월,11:00,12:50,Y2532,교과목명 변경강좌
전학년,AI사회와인간,교선165,교선,165,3,3,조선경,0198,60,월,13:00,14:50,Y2532,교과목명 변경강좌
전학년,비판적사고와논증,교선166,교선,166,3,3,손석우,0199,55,월,09:00,10:50,Y2535,교과목명 변경강좌
전학년,비판적사고와논증,교선166,교선,166,3,3,손석우,0200,65,월,11:00,12:50,Y2535,교과목명 변경강좌
전학년,통합적커뮤니케이션,교선168,교선,168,3,3,이희조,0203,60,화,15:00,17:50,Y9001,
전학년,창업과공동체,교선169,교선,169,3,3,유정현,0204,65,목,14:00,16:50,Y5120,
전학년,창업과공동체,교선169,교선,169,3,3,김경찬,0205,60,수,11:00,13:50,Y5219,
전학년,컴퓨팅사고와코딩입문,교선170,교선,170,3,3,유충열,0207,38,월,14:00,16:50,Y9135,
전학년,인공지능입문,교선172,교선,172,3,3,김재민,0210,38,목,10:00,12:50,Y9119,
